model,params,stage,best_r,macro_f1,mcc,accuracy,macro_p,macro_r,note
Llama-3.2-3B,3B,S1,FS,0.2951,0.2673,0.3397,0.5760,0.3565,prompting
Mistral-7B,7B,S1,FS,0.4963,0.4387,0.5210,0.5715,0.5130,prompting
Gemma-2-9B,9B,S1,ZS,0.5018,0.4533,0.5280,0.5807,0.5246,prompting
Qwen3-14B,14B,S1,FS,0.5756,0.5583,0.6145,0.6345,0.5991,prompting
Phi-4,15B,S1,FS,0.5757,0.5614,0.6158,0.6287,0.6005,prompting
Gemma-3-27B,27B,S1,FS,0.5228,0.4908,0.5576,0.6255,0.5522,prompting
Llama-3.2-3B,3B,S2,32,0.8958,0.8874,0.9064,0.8957,0.8962,
Mistral-7B,7B,S2,4,0.8949,0.8870,0.9061,0.8946,0.8953,inverse rank pattern
Gemma-2-9B,9B,S2,32,0.9010,0.8936,0.9116,0.9008,0.9014,
Qwen3-14B,14B,S2,16,0.8974,0.8898,0.9084,0.8972,0.8978,
Phi-4,15B,S2,32,0.8672,0.8572,0.8814,0.8672,0.8675,
Gemma-3-27B,27B,S2,32,0.8820,0.8726,0.8941,0.8820,0.8824,
Llama-3.2-3B,3B,S3,32,0.8939,0.8857,0.9050,0.8937,0.8940,
Mistral-7B,7B,S3,8,0.8984,0.8910,0.9095,0.8982,0.8987,r=16 collapse (0.7616)
Gemma-2-9B,9B,S3,32,0.8944,0.8878,0.9068,0.8944,0.8947,
Qwen3-14B,14B,S3,16,0.8997,0.8916,0.9099,0.8996,0.9002,r=32 collapse (0.6548)
Phi-4,15B,S3,16,0.8918,0.8839,0.9036,0.8917,0.8919,
Gemma-3-27B,27B,S3,16,0.8988,0.8911,0.9095,0.8986,0.8992,
Llama-3.2-3B,3B,S4,16,0.8981,0.8907,0.9091,0.8981,0.8989,
Mistral-7B,7B,S4,16,0.8975,0.8900,0.9086,0.8973,0.8980,r=8 and r=32 degraded
Gemma-2-9B,9B,S4,4,0.9082,0.9019,0.9185,0.9083,0.9087,champion
Qwen3-14B,14B,S4,16,0.8996,0.8920,0.9103,0.8993,0.9002,r=32 collapse (0.0835)
Phi-4,15B,S4,8,0.8986,0.8917,0.9101,0.8987,0.8989,
Gemma-3-27B,27B,S4,16,0.8466,0.8390,0.8651,0.8533,0.8488,CausalLM wrapper
